Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/tasks/export,20,0,6,9.323599200001809,4.840434000016103,49.382193000155894,12891.0,2.5125126069541297,0.0,6,6,13,13,15,49,49,49,49,49,49
GET,GET /dashboard,64,0,6,13.079065921896671,5.486588999929154,81.51679399998102,22957.0,8.040040342253215,0.0,6,8,12,14,31,51,60,82,82,82,82
GET,GET /dashboard (authenticate),12,0,34,35.72993358333557,23.55475099989235,50.88353499991172,22957.0,1.5075075641724778,0.0,34,38,42,42,47,51,51,51,51,51,51
GET,GET /dashboard/tasks,50,0,9,12.948851800001648,8.010752000018329,57.84562000008009,136496.0,6.281281517385324,0.0,9,10,10,12,22,43,58,58,58,58,58
GET,GET /metrics,19,0,5,8.802635736868213,4.370645000108198,29.08553599991137,9962.736842105263,2.3868869766064233,0.0,5,5,6,12,28,29,29,29,29,29,29
GET,GET /settings,28,0,5,14.62060382142941,4.474913999956698,99.26083999994262,22275.0,3.5175176497357814,0.0,5,7,12,13,28,92,99,99,99,99,99
GET,GET /tasks,37,0,5,14.429171864862468,4.740470999877289,100.85786500007998,12870.0,4.64814832286514,0.0,5,6,12,15,33,97,100,100,100,100,100
GET,GET /translations,39,0,6,10.316735410277452,4.755065999916042,50.54978700013635,24373.0,4.899399583560553,0.0,6,6,10,15,27,33,51,51,51,51,51
,Aggregated,269,0,7,13.429713836441577,4.370645000108198,100.85786500007998,41141.56505576208,33.793294563533046,0.0,7,9,12,16,32,47,60,97,100,100,100
